"","ID","Sex","Condition","BG_Type","BG_Intensity","Stim","Dur (ms)","Freq (kHz)","Inten (dB)","n","mean","sd","median","se"
"93","Green 1","Male","Post HHL","NA","NA","tone",50,16,60,185,139.854054054054,34.3301632061068,141,2.52400379679966
"94","Green 1","Male","Post HHL","NA","NA","tone",50,16,70,173,138.450867052023,25.9497314107557,138,1.97292154523278
"95","Green 1","Male","Post HHL","NA","NA","tone",50,16,80,156,120.519230769231,38.5597937275045,128,3.08725429034513
"96","Green 1","Male","Post HHL","NA","NA","tone",50,16,90,156,104.987179487179,27.0204193228099,106,2.16336493060043
"97","Green 1","Male","Post HHL","NA","NA","tone",50,32,5,24,239.416666666667,247.704753542471,149.5,50.5625210867431
"98","Green 1","Male","Post HHL","NA","NA","tone",50,32,10,56,160.785714285714,104.100775350482,138.5,13.911051252108
"99","Green 1","Male","Post HHL","NA","NA","tone",50,32,15,29,124.034482758621,41.5816604136802,135,7.72152049248168
"100","Green 1","Male","Post HHL","NA","NA","tone",50,32,20,61,140.459016393443,40.8426140897355,127,5.22936087635307
"101","Green 1","Male","Post HHL","NA","NA","tone",50,32,25,30,131.3,31.8943838965096,132,5.82309117261594
"102","Green 1","Male","Post HHL","NA","NA","tone",50,32,30,217,134.230414746544,40.8706450428187,131,2.77448016986558
"103","Green 1","Male","Post HHL","NA","NA","tone",50,32,40,186,126,34.1788618095248,130,2.50611573954016
"104","Green 1","Male","Post HHL","NA","NA","tone",50,32,50,187,129.433155080214,31.7115624954988,131,2.31897911789424
"105","Green 1","Male","Post HHL","NA","NA","tone",50,32,60,156,131.698717948718,29.8186821438734,134,2.38740526029958
"106","Green 1","Male","Post HHL","NA","NA","tone",50,32,70,156,127.878205128205,36.7048107858107,129.5,2.93873679344846
"107","Green 1","Male","Post HHL","NA","NA","tone",50,32,80,156,115.615384615385,33.088242047389,118,2.64917955585213
"108","Green 1","Male","Post HHL","NA","NA","tone",50,32,90,156,106.352564102564,26.8800932427289,106.5,2.15212985253339
"109","Green 3","Male","Baseline","NA","NA","BBN",50,0,25,213,169.004694835681,153.07503702102,133,10.4885287123234
"110","Green 3","Male","Baseline","NA","NA","BBN",50,0,30,620,147.225806451613,85.0912119856322,131.5,3.41734530932999
"111","Green 3","Male","Baseline","NA","NA","BBN",50,0,35,237,129.814345991561,79.5628371009842,117,5.16816163789732
"112","Green 3","Male","Baseline","NA","NA","BBN",50,0,40,665,128.908270676692,74.3350381607513,118,2.88258913962956
"113","Green 3","Male","Baseline","NA","NA","BBN",50,0,45,245,116.008163265306,78.2732703489561,103,5.00069580918527
"114","Green 3","Male","Baseline","NA","NA","BBN",50,0,50,568,115.885563380282,65.2493462111856,106.5,2.73780174907368
"115","Green 3","Male","Baseline","NA","NA","BBN",50,0,60,425,106.891764705882,29.9159601648688,103,1.4511372194297
"116","Green 3","Male","Baseline","NA","NA","BBN",50,0,70,425,97.1788235294118,27.1547977540891,94,1.31720116920464
"117","Green 3","Male","Baseline","NA","NA","BBN",50,0,80,425,89.6,30.7686896723104,83,1.49250067624456
"118","Green 3","Male","Baseline","NA","NA","BBN",50,0,90,425,66.5411764705882,25.4201269152268,62,1.23305727397749
"119","Green 3","Male","Baseline","NA","NA","tone",50,4,35,126,248.301587301587,241.048584972948,181,21.4743147270342
"120","Green 3","Male","Baseline","NA","NA","tone",50,4,40,675,225.688888888889,209.512754888407,178,8.06414969556546
"121","Green 3","Male","Baseline","NA","NA","tone",50,4,45,146,193.068493150685,148.337623173449,166,12.2765090439626
"122","Green 3","Male","Baseline","NA","NA","tone",50,4,50,753,195.381142098274,155.049527143139,167,5.65031887679301
"123","Green 3","Male","Baseline","NA","NA","tone",50,4,55,128,158.1484375,38.6779739235486,152.5,3.41868220548721
"124","Green 3","Male","Baseline","NA","NA","tone",50,4,60,711,168.220815752461,49.866897935967,160,1.87015478414898
"125","Green 3","Male","Baseline","NA","NA","tone",50,4,65,39,139.205128205128,32.2238710856764,142,5.15994898540248
"126","Green 3","Male","Baseline","NA","NA","tone",50,4,70,644,150.967391304348,44.5101612670029,145,1.75394606389528
"127","Green 3","Male","Baseline","NA","NA","tone",50,4,80,564,142.45390070922,33.5745452884976,140.5,1.41374339068216
"128","Green 3","Male","Baseline","NA","NA","tone",50,4,90,452,122.274336283186,31.8244206911944,122,1.49689483342127
"129","Green 3","Male","Baseline","NA","NA","tone",50,8,25,119,200.672268907563,116.749703969697,176,10.702427815751
"130","Green 3","Male","Baseline","NA","NA","tone",50,8,30,726,206.044077134986,141.365950099838,179,5.24658249618715
"131","Green 3","Male","Baseline","NA","NA","tone",50,8,35,150,169.653333333333,64.7850329333097,160,5.28967578853375
"132","Green 3","Male","Baseline","NA","NA","tone",50,8,40,788,166.922588832487,57.0940982794773,157,2.03389303706627
"133","Green 3","Male","Baseline","NA","NA","tone",50,8,45,139,148.071942446043,44.129361924695,143,3.74300362583671
"134","Green 3","Male","Baseline","NA","NA","tone",50,8,50,785,149.602547770701,35.9938344157658,145,1.28467503930903
"135","Green 3","Male","Baseline","NA","NA","tone",50,8,55,20,138.55,23.182286795151,140.5,5.18371691478533
"136","Green 3","Male","Baseline","NA","NA","tone",50,8,60,659,149.46282245827,46.6830781541084,141,1.81851453742509
"137","Green 3","Male","Baseline","NA","NA","tone",50,8,70,646,141.088235294118,38.531693802227,136,1.51600921604726
"138","Green 3","Male","Baseline","NA","NA","tone",50,8,80,572,122.660839160839,39.8876311936016,118,1.66778564418795
"139","Green 3","Male","Baseline","NA","NA","tone",50,8,90,452,91.5752212389381,31.5786577314404,87,1.48533511617545
"140","Green 3","Male","Baseline","NA","NA","tone",50,16,15,131,246.022900763359,253.598424699331,182,22.1569972422654
"141","Green 3","Male","Baseline","NA","NA","tone",50,16,20,311,197.540192926045,188.686488973782,169,10.6994291883164
"142","Green 3","Male","Baseline","NA","NA","tone",50,16,25,143,159.104895104895,51.9555217804117,158,4.34473899646187
"143","Green 3","Male","Baseline","NA","NA","tone",50,16,30,769,190.317295188557,153.982127361721,163,5.5527375301843
"144","Green 3","Male","Baseline","NA","NA","tone",50,16,35,153,152.993464052288,46.3707168162513,147,3.74885026213744
"145","Green 3","Male","Baseline","NA","NA","tone",50,16,40,705,174.985815602837,93.264392763841,160,3.51254024132987
"146","Green 3","Male","Baseline","NA","NA","tone",50,16,45,7,135,45.1442133611828,148,17.0629088124756
"147","Green 3","Male","Baseline","NA","NA","tone",50,16,50,646,161.603715170279,42.7391683740792,157,1.68155008897
"148","Green 3","Male","Baseline","NA","NA","tone",50,16,55,7,321.571428571429,443.007470645382,163,167.441085181633
"149","Green 3","Male","Baseline","NA","NA","tone",50,16,60,653,156.111791730475,41.2609316097716,150,1.6146650273495
"150","Green 3","Male","Baseline","NA","NA","tone",50,16,70,539,152.102040816327,36.6759492862881,147,1.57974496899637
"151","Green 3","Male","Baseline","NA","NA","tone",50,16,80,494,153.257085020243,38.9481464770902,148.5,1.7523599553052
"152","Green 3","Male","Baseline","NA","NA","tone",50,16,90,452,136.772123893805,40.8900838238846,133,1.92330775815414
"153","Green 3","Male","Baseline","NA","NA","tone",50,32,-5,76,236,242.103228671848,164,27.7711449390923
"154","Green 3","Male","Baseline","NA","NA","tone",50,32,0,216,183.180555555556,142.404173546321,146,9.68937673420083
"155","Green 3","Male","Baseline","NA","NA","tone",50,32,5,120,158.783333333333,84.488195519095,142,7.71268175478587
"156","Green 3","Male","Baseline","NA","NA","tone",50,32,10,293,156.798634812287,142.178514062933,135,8.3061574801959
"157","Green 3","Male","Baseline","NA","NA","tone",50,32,15,148,138.709459459459,47.4001999735123,132,3.89627243685842
"158","Green 3","Male","Baseline","NA","NA","tone",50,32,20,336,142.809523809524,44.0249525421633,135,2.40175806537264
"159","Green 3","Male","Baseline","NA","NA","tone",50,32,25,72,163.902777777778,138.550764553547,142,16.328364192399
"160","Green 3","Male","Baseline","NA","NA","tone",50,32,30,701,148.724679029957,81.7575847337969,138,3.08794135762135
"161","Green 3","Male","Baseline","NA","NA","tone",50,32,35,37,131.216216216216,33.4474173850498,135,5.49872154608178
"162","Green 3","Male","Baseline","NA","NA","tone",50,32,40,674,142.152818991098,35.9737245130407,138,1.38565609444673
"163","Green 3","Male","Baseline","NA","NA","tone",50,32,45,7,148,19.8578280114753,142,7.50555349946513
"164","Green 3","Male","Baseline","NA","NA","tone",50,32,50,653,144.43797856049,40.6620958643218,140,1.59123077374492
"165","Green 3","Male","Baseline","NA","NA","tone",50,32,55,7,137.142857142857,10.2050407712491,138,3.85714285714286
"166","Green 3","Male","Baseline","NA","NA","tone",50,32,60,538,149.661710037175,34.8682658203149,145,1.50327768368586
"167","Green 3","Male","Baseline","NA","NA","tone",50,32,70,500,144.352,36.3239170506128,140,1.62445495468468
"168","Green 3","Male","Baseline","NA","NA","tone",50,32,80,494,131.008097165992,38.4346859806703,127,1.7292582754066
"169","Green 3","Male","Baseline","NA","NA","tone",50,32,90,452,120.327433628319,32.2971767667395,115,1.51913140871728
"170","Green 3","Male","Post HHL","NA","NA","BBN",50,0,25,30,152.466666666667,72.1606126844036,137,13.1746651102138
"171","Green 3","Male","Post HHL","NA","NA","BBN",50,0,30,77,127.714285714286,42.3630478075985,122,4.82771734874112
"172","Green 3","Male","Post HHL","NA","NA","BBN",50,0,35,40,117.325,30.1240065268677,120.5,4.76302364373401
"173","Green 3","Male","Post HHL","NA","NA","BBN",50,0,40,84,115.857142857143,24.4077524999707,115.5,2.66310412797294
"174","Green 3","Male","Post HHL","NA","NA","BBN",50,0,45,40,115.825,35.8092435423722,109.5,5.66193854407862
"175","Green 3","Male","Post HHL","NA","NA","BBN",50,0,50,84,105.261904761905,35.9407541431223,102.5,3.92145777130133
"176","Green 3","Male","Post HHL","NA","NA","BBN",50,0,60,44,99.2272727272727,27.9325297036416,101,4.21098729420165
"177","Green 3","Male","Post HHL","NA","NA","BBN",50,0,70,44,100.068181818182,22.0289426186643,94.5,3.32098805428994
"178","Green 3","Male","Post HHL","NA","NA","BBN",50,0,80,44,90.1818181818182,20.0560525310681,88,3.0235636827823
"179","Green 3","Male","Post HHL","NA","NA","BBN",50,0,90,44,66.7954545454545,23.3094247287215,60.5,3.51402799564549
"180","Green 3","Male","Post HHL","NA","NA","tone",50,4,25,20,192.5,56.471231613982,194,12.6273512661999
"181","Green 3","Male","Post HHL","NA","NA","tone",50,4,30,75,217.573333333333,113.367278435269,200,13.0905257443796
"182","Green 3","Male","Post HHL","NA","NA","tone",50,4,35,22,192.681818181818,55.9773647822526,174,11.9344142712756
"183","Green 3","Male","Post HHL","NA","NA","tone",50,4,40,90,198.844444444444,94.2307603956589,181.5,9.93279428332904
"184","Green 3","Male","Post HHL","NA","NA","tone",50,4,45,23,167.434782608696,49.8030905274658,164,10.384662239566
"185","Green 3","Male","Post HHL","NA","NA","tone",50,4,50,96,194.416666666667,134.529172470561,172,13.7303261696562
"186","Green 3","Male","Post HHL","NA","NA","tone",50,4,60,81,186.185185185185,85.4719414648911,166,9.49688238498791
"187","Green 3","Male","Post HHL","NA","NA","tone",50,4,70,82,154.731707317073,34.8258626688461,156,3.8458731613937
"188","Green 3","Male","Post HHL","NA","NA","tone",50,4,80,66,142.666666666667,31.6594053753059,145.5,3.89700341116551
"189","Green 3","Male","Post HHL","NA","NA","tone",50,4,90,66,125.19696969697,43.2236472660936,123,5.32046318754822
"190","Green 3","Male","Post HHL","NA","NA","tone",50,8,25,20,234.35,217.914342176727,157.5,48.7271282379312
"191","Green 3","Male","Post HHL","NA","NA","tone",50,8,30,81,197.123456790123,89.8101306529572,180,9.97890340588413
"192","Green 3","Male","Post HHL","NA","NA","tone",50,8,35,23,174.782608695652,69.4065470593629,161,14.4722654918078
"193","Green 3","Male","Post HHL","NA","NA","tone",50,8,40,101,162.217821782178,44.8953458524146,161,4.46725387904923
"194","Green 3","Male","Post HHL","NA","NA","tone",50,8,45,24,139.666666666667,26.3251684278301,134,5.37360250341745
"195","Green 3","Male","Post HHL","NA","NA","tone",50,8,50,98,162.132653061224,40.3550320716916,151.5,4.07647383327054
"196","Green 3","Male","Post HHL","NA","NA","tone",50,8,60,82,150.987804878049,27.5293306670141,149,3.04010599737744
