"","ID","Genotype","Duration","Dur (ms)","Intensity","Phase","count","Rxn"
"171","GP 2","Tsc2_LE_WT","Rotating",50,50,"BBN Rotating",4,371.2263828125
"172","GP 2","Tsc2_LE_WT","Alone",50,50,"BBN Rxn",7,331.11255513308
"173","GP 2","Tsc2_LE_WT","Alone",50,50,"BBN TH",2,338.462768292683
"174","GP 2","Tsc2_LE_WT","Rotating",50,60,"BBN Rotating",4,361.300138461538
"175","GP 2","Tsc2_LE_WT","Alone",50,60,"BBN Rxn",7,335.235044117647
"176","GP 2","Tsc2_LE_WT","Alone",50,60,"BBN TH",2,344.399571428571
"177","GP 2","Tsc2_LE_WT","Rotating",50,70,"BBN Rotating",4,353.325569230769
"178","GP 2","Tsc2_LE_WT","Alone",50,70,"BBN Rxn",7,322.436183150183
"179","GP 2","Tsc2_LE_WT","Alone",50,70,"BBN TH",2,318.331493975904
"180","GP 2","Tsc2_LE_WT","Rotating",50,80,"BBN Rotating",4,317.940054263566
"181","GP 2","Tsc2_LE_WT","Alone",50,80,"BBN Rxn",7,326.714072727273
"182","GP 3","Tsc2_LE_Het","Alone",100,25,"BBN TH",3,327.697564814815
"183","GP 3","Tsc2_LE_Het","Alone",100,30,"BBN Rxn",5,367.715009389671
"184","GP 3","Tsc2_LE_Het","Alone",100,30,"BBN TH",5,350.197328502415
"185","GP 3","Tsc2_LE_Het","Alone",100,35,"BBN TH",3,345.830818897638
"186","GP 3","Tsc2_LE_Het","Alone",100,40,"BBN Rxn",5,343.187653153153
"187","GP 3","Tsc2_LE_Het","Alone",100,40,"BBN TH",5,335.972857142857
"188","GP 3","Tsc2_LE_Het","Alone",100,45,"BBN TH",3,325.311984375
"189","GP 3","Tsc2_LE_Het","Alone",100,50,"BBN Rxn",5,334.210808035714
"190","GP 3","Tsc2_LE_Het","Alone",100,50,"BBN TH",2,322.384733333333
"191","GP 3","Tsc2_LE_Het","Alone",100,60,"BBN Rxn",5,335.149858447489
"192","GP 3","Tsc2_LE_Het","Alone",100,60,"BBN TH",2,315.54602247191
"193","GP 3","Tsc2_LE_Het","Alone",100,70,"BBN Rxn",5,324.121951111111
"194","GP 3","Tsc2_LE_Het","Alone",100,70,"BBN TH",2,274.509842696629
"195","GP 3","Tsc2_LE_Het","Alone",100,80,"BBN Rxn",5,275.520628318584
"196","GP 3","Tsc2_LE_Het","Rotating",300,20,"BBN Rotating",1,480.169368421053
"197","GP 3","Tsc2_LE_Het","Alone",300,20,"BBN Rxn",5,440.3328125
"198","GP 3","Tsc2_LE_Het","Alone",300,20,"BBN TH",5,483.830294964029
"199","GP 3","Tsc2_LE_Het","Alone",300,25,"BBN TH",3,348.525508064516
"200","GP 3","Tsc2_LE_Het","Rotating",300,30,"BBN Rotating",1,396.263
"201","GP 3","Tsc2_LE_Het","Alone",300,30,"BBN Rxn",5,305.678716981132
"202","GP 3","Tsc2_LE_Het","Alone",300,30,"BBN TH",5,309.04536407767
"203","GP 3","Tsc2_LE_Het","Alone",300,35,"BBN TH",3,310.835821138211
"204","GP 3","Tsc2_LE_Het","Rotating",300,40,"BBN Rotating",1,377.92185106383
"205","GP 3","Tsc2_LE_Het","Alone",300,40,"BBN Rxn",5,255.509258373206
"206","GP 3","Tsc2_LE_Het","Alone",300,40,"BBN TH",5,286.368936893204
"207","GP 3","Tsc2_LE_Het","Alone",300,45,"BBN TH",3,277.373619047619
"208","GP 3","Tsc2_LE_Het","Rotating",300,50,"BBN Rotating",1,370.863212765957
"209","GP 3","Tsc2_LE_Het","Alone",300,50,"BBN Rxn",5,255.969023474178
"210","GP 3","Tsc2_LE_Het","Alone",300,50,"BBN TH",2,307.633395061728
"211","GP 3","Tsc2_LE_Het","Rotating",300,60,"BBN Rotating",1,387.875854166667
"212","GP 3","Tsc2_LE_Het","Alone",300,60,"BBN Rxn",5,203.781117924528
"213","GP 3","Tsc2_LE_Het","Alone",300,60,"BBN TH",2,221.025963414634
"214","GP 3","Tsc2_LE_Het","Rotating",300,70,"BBN Rotating",1,345.941936170213
"215","GP 3","Tsc2_LE_Het","Alone",300,70,"BBN Rxn",5,176.051928571429
"216","GP 3","Tsc2_LE_Het","Alone",300,70,"BBN TH",2,191.726317073171
"217","GP 3","Tsc2_LE_Het","Rotating",300,80,"BBN Rotating",1,365.809520833333
"218","GP 3","Tsc2_LE_Het","Alone",300,80,"BBN Rxn",5,120.543794258373
"219","GP 3","Tsc2_LE_Het","Alone",50,25,"BBN TH",3,392.3192
"220","GP 3","Tsc2_LE_Het","Rotating",50,30,"BBN Rotating",1,337.518568181818
