"","Date","File","Weight","WeightChange","Trials","Hit","FA","Thresholds","Phase","ID","Genotype","Frequency","Intensity","Duration","BG_Type","BG_Intensity","Condition","Sex","BBN_TH","4_TH","8_TH","16_TH","32_TH"
"435",2022-05-27,"BBN_30-90dB_50ms_4s_TR100ms",259,-0.0407407407407407,237,0.97,0.127,"NA","BBN reaction time","Orange 4","TTS Noise","BBN","30-90dB","50ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"436",2022-05-28,"BBN_15-45dB_50ms_4s_TR100ms",251,-0.0703703703703704,262,0.761,0.167,"21.759425252950209","Thresholding, BBN","Orange 4","TTS Noise","BBN","15-45dB","50ms","NA","NA","Baseline","Female",22,NA,NA,NA,NA
"437",2022-05-31,"4-32kHz_30-90dB_50ms_4s_TR100ms",256,-0.0518518518518519,253,0.978,0.213,"NA, NA, NA, NA","Reaction time, BG","Orange 4","TTS Noise","4-32kHz","30-90dB","50ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"438",2022-06-01,"4-32kHz_30-90dB_50ms_4s_TR100ms",251,-0.0703703703703704,259,0.978,0.115,"NA, NA, NA, NA","Reaction time, BG","Orange 4","TTS Noise","4-32kHz","30-90dB","50ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"439",2022-06-02,"4-32kHz_30-90dB_50ms_4s_TR100ms_BG_PNK_30dB",254,-0.0592592592592593,390,0.982,0.11,"30, NA, NA, NA","Reaction time, BG","Orange 4","TTS Noise","4-32kHz","30-90dB","50ms","PNK","30","Baseline","Female",NA,30,NA,NA,NA
"440",2022-06-03,"4-32kHz_30-90dB_50ms_4s_TR100ms_BG_WN_50dB",260,-0.037037037037037,240,0.869,0.194,"NA, 33, 39, 38","Reaction time, WN","Orange 4","TTS Noise","4-32kHz","30-90dB","50ms","WN","50","Baseline","Female",NA,NA,33,39,38
"441",2022-06-04,"4-32kHz_30-90dB_50ms_4s_TR100ms_BG_PNK_30dB",263,-0.0259259259259259,296,0.952,0.114,"NA, NA, NA, NA","Reaction time, BG","Orange 4","TTS Noise","4-32kHz","30-90dB","50ms","PNK","30","Baseline","Female",NA,NA,NA,NA,NA
"442",2022-06-06,"4-32kHz_30-90dB_50ms_4s_TR100ms",265,-0.0185185185185185,193,0.963,0.193,"61, NA, NA, NA","Reaction time, WN","Orange 4","TTS Noise","4-32kHz","30-90dB","50ms","NA","NA","Baseline","Female",NA,61,NA,NA,NA
"443",2022-06-07,"4-32kHz_30-90dB_50ms_4s_TR100ms_BG_WN_50dB",258,-0.0444444444444444,285,0.895,0.212,"NA, 34, 40, 40","Reaction time, WN","Orange 4","TTS Noise","4-32kHz","30-90dB","50ms","WN","50","Baseline","Female",NA,NA,34,40,40
"444",2022-06-08,"4-32kHz_30-90dB_50ms_4s_TR100ms_BG_PNK_30dB",251,-0.0703703703703704,263,0.978,0.128,"NA, NA, NA, NA","Reaction time, BG","Orange 4","TTS Noise","4-32kHz","30-90dB","50ms","PNK","30","Baseline","Female",NA,NA,NA,NA,NA
"445",2022-06-09,"4-32kHz_30-90dB_50ms_4s_TR100ms",251,-0.0703703703703704,266,0.989,0.136,"NA, NA, NA, NA","Thresholding, BG","Orange 4","TTS Noise","4-32kHz","30-90dB","50ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"446",2022-06-10,"BBN_30-90dB_50ms_4s_TR100ms",256,-0.0518518518518519,345,0.992,0.147,"NA, NA, NA, NA","BBN reaction time","Orange 4","TTS Noise","BBN","30-90dB","50ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"447",2022-06-11,"BBN_15-45dB_50ms_4s_TR100ms",251,-0.0703703703703704,232,0.816,0.232,"22.130578756585795","Thresholding, BBN","Orange 4","TTS Noise","BBN","15-45dB","50ms","NA","NA","Baseline","Female",22,NA,NA,NA,NA
"448",2022-06-13,"4-32kHz_30-90dB_50ms_4s_TR100ms",250,-0.0740740740740741,262,0.968,0.247,"NA, NA, NA, NA","Reaction time, WN","Orange 4","TTS Noise","4-32kHz","30-90dB","50ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"449",2022-06-14,"4-32kHz_30-90dB_50ms_4s_TR100ms",250,-0.0740740740740741,275,0.99,0.169,"NA, NA, NA, NA","Reaction time, WN","Orange 4","TTS Noise","4-32kHz","30-90dB","50ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"450",2022-06-15,"4-32kHz_30-90dB_50ms_4s_TR100ms_BG_WN_50dB",251,-0.0703703703703704,269,0.889,0.225,"NA, 39, 39, 42","Reaction time, WN","Orange 4","TTS Noise","4-32kHz","30-90dB","50ms","WN","50","Baseline","Female",NA,NA,39,39,42
"451",2022-06-16,"4-32kHz_MIX5stepdB_50ms_4s_BG_WN_50dB",258,-0.0444444444444444,357,0.819,0.361,"28, 33, 38, 39","Thresholding, BG","Orange 4","TTS Noise","4-32kHz","MIX5stepdB","50ms","WN","50","Baseline","Female",NA,28,33,38,39
"452",2022-06-17,"4-32kHz_MIX5stepdB_50ms_4s_BG_WN_50dB",254,-0.0592592592592593,296,0.86,0.236,"25, 35, 37, 38","Thresholding, BG","Orange 4","TTS Noise","4-32kHz","MIX5stepdB","50ms","WN","50","Baseline","Female",NA,25,35,37,38
"453",2022-06-18,"4-32kHz_30-90dB_50ms_4s_TR100ms_BG_PNK_30dB",253,-0.062962962962963,237,0.988,0.214,"NA, NA, NA, NA","Reaction time, BG","Orange 4","TTS Noise","4-32kHz","30-90dB","50ms","PNK","30","Baseline","Female",NA,NA,NA,NA,NA
"454",2022-06-20,"4-32kHz_30-90dB_50ms_4s_TR100ms",261,-0.0333333333333333,332,0.983,0.143,"NA, NA, NA, NA","Thresholding, BG","Orange 4","TTS Noise","4-32kHz","30-90dB","50ms","NA","NA","Baseline","Female",NA,NA,NA,NA,NA
"455",2022-06-21,"4-32kHz_MIX5stepdB_50ms_4s_BG_WN_50dB",258,-0.0444444444444444,369,0.84,0.188,"25, 32, 39, 39","Thresholding, BG","Orange 4","TTS Noise","4-32kHz","MIX5stepdB","50ms","WN","50","Baseline","Female",NA,25,32,39,39
"456",2022-06-22,"4-32kHz_MIX5stepdB_50ms_4s_BG_WN_50dB",254,-0.0592592592592593,185,0.869,0.294,"26, 41, 36, 39","Thresholding, BG","Orange 4","TTS Noise","4-32kHz","MIX5stepdB","50ms","WN","50","Baseline","Female",NA,26,41,36,39
"457",2022-06-23,"4-32kHz_MIX5stepdB_50ms_4s_BG_WN_50dB",254,-0.0592592592592593,326,0.873,0.173,"29, 37, NA, 36","Thresholding, BG","Orange 4","TTS Noise","4-32kHz","MIX5stepdB","50ms","WN","50","Baseline","Female",NA,29,37,NA,36
"458",2022-06-24,"4-32kHz_MIXdB_50ms_4s",254,-0.0592592592592593,402,0.773,0.3,"21, 21, 13, 51","Suprathreshold, recovery","Orange 4","TTS Noise","4-32kHz","MIXdB","50ms","NA","NA","Recovery","Female",NA,21,21,13,51
"459",2022-06-27,"4-32kHz_30-90dB_50ms_4s_TR100ms",259,-0.0407407407407407,321,0.982,0.177,"NA, NA, NA, NA","Suprathreshold, recovery","Orange 4","TTS Noise","4-32kHz","30-90dB","50ms","NA","NA","Recovery","Female",NA,NA,NA,NA,NA
"460",2022-06-28,"4-32kHz_MIXdB_50ms_4s",259,-0.0407407407407407,330,0.853,0.273,"NA, 23, 30, 20","Suprathreshold, recovery","Orange 4","TTS Noise","4-32kHz","MIXdB","50ms","NA","NA","Recovery","Female",NA,NA,23,30,20
"461",2022-06-29,"4-32kHz_MIXdB_50ms_4s",258,-0.0444444444444444,303,0.855,0.213,"22, 22, 12, 18","Suprathreshold, recovery","Orange 4","TTS Noise","4-32kHz","MIXdB","50ms","NA","NA","Recovery","Female",NA,22,22,12,18
